CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_SUN,NOM_SUN,P_2015,P_2016,P_2017,P_2018,P_2019,P_2020,P_2021,P_2022,P_2023,P_2024,P_2025,P_2026,P_2027,P_2028,P_2029,P_2030
13,Hidalgo,13074,Tlaxcoapan,M13.02,Tula,29195,29519,29830,30132,30431,30727,31018,31302,31591,31875,32160,32445,32737,33036,33337,33643
13,Hidalgo,13076,Tula de Allende,M13.02,Tula,112294,113653,114972,116271,117558,118824,120085,121340,122602,123860,125119,126389,127663,128957,130262,131578
13,Hidalgo,13016,Cuautepec de Hinojosa,M13.03,Tulancingo,58534,59349,60139,60904,61641,62361,63061,63741,64398,65035,65646,66233,66799,67335,67857,68344
13,Hidalgo,13056,Santiago Tulantepec de Lugo Guerrero,M13.03,Tulancingo,37324,37940,38526,39076,39602,40098,40571,41004,41420,41801,42159,42481,42778,43050,43284,43484
13,Hidalgo,13077,Tulancingo de Bravo,M13.03,Tulancingo,158870,161195,163434,165581,167638,169624,171527,173360,175116,176808,178429,179977,181462,182884,184238,185520
14,Jalisco,14002,Acatlán de Juárez,M14.01,Guadalajara,23797,23859,23926,23989,24060,24131,24214,24305,24417,24552,24708,24884,25090,25329,25606,25928
14,Jalisco,14039,Guadalajara,M14.01,Guadalajara,1508885,1503467,1500530,1499330,1500273,1503505,1509338,1517916,1529591,1544476,1562868,1585031,1611112,1641400,1676075,1715467
14,Jalisco,14044,Ixtlahuacán de los Membrillos,M14.01,Guadalajara,51238,53211,55099,56870,58498,59970,61274,62393,63302,63991,64443,64641,64573,64220,63565,62581
14,Jalisco,14051,Juanacatlán,M14.01,Guadalajara,17402,17794,18177,18539,18882,19203,19501,19760,19990,20189,20356,20478,20561,20600,20597,20541
14,Jalisco,14070,El Salto,M14.01,Guadalajara,177457,182730,187707,192285,196448,200159,203385,206099,208267,209863,210845,211188,210868,209838,208072,205528
